gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
4923819047				CC_BY_NC_4_0	2024-08-12T09:41:28Z		https://www.inaturalist.org/observations/234397599	wolff christiane					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/234397599	234397599		wolff christiane															PRESENT																							2024-08-06T13:49	13:49:00+02:00	219	219	2024	8	6	2024/08/06 13:49											EUROPE				LU	Luxembourg				Strassen, Luxembourg								49.6255	6.052031	5.0																															524738330				wolff christiane		2024-08-07T20:23:54				158429								Anthoceros agrestis Paton								Plantae	Anthocerotophyta	Anthocerotopsida	Anthocerotales		Anthocerotaceae				Anthoceros	Anthoceros			agrestis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	LU	2024-08-29T06:19:37.880Z					2748.329545462768	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2689592	2689592	6	13	132	955	3106	8365024		2689592	Anthoceros agrestis	Anthoceros agrestis Paton	Anthoceros agrestis		DWC_ARCHIVE	2024-08-29T06:19:37.880Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	LUX	Luxembourg	LUX.3_1	Luxembourg	LUX.3.3_1	Luxembourg	LUX.3.3.9_1	Strassen	NE
4921763736				CC_BY_NC_4_0	2024-08-11T08:55:15Z		https://www.inaturalist.org/observations/234190258	wolff christiane					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/234190258	234190258		wolff christiane															PRESENT																							2024-08-06T14:18	14:18:00+02:00	219	219	2024	8	6	2024/08/06 14:18											EUROPE				LU	Luxembourg				Strassen, Luxembourg								49.625592	6.051786	5.0																															524303007				wolff christiane		2024-08-06T18:22:36				166615								Phaeoceros carolinianus (Michx.) Prosk.								Plantae	Anthocerotophyta	Anthocerotopsida	Notothyladales		Notothyladaceae				Phaeoceros	Phaeoceros			carolinianus			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	LU	2024-08-29T05:45:25.656Z					2765.397459225702	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4277778	4277778	6	13	132	957	6751	9690017		4277778	Phaeoceros carolinianus	Phaeoceros carolinianus (Michx.) Prosk.	Phaeoceros carolinianus		DWC_ARCHIVE	2024-08-29T05:45:25.656Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	LUX	Luxembourg	LUX.3_1	Luxembourg	LUX.3.3_1	Luxembourg	LUX.3.3.9_1	Strassen	NE
4911042258				CC_BY_NC_4_0	2024-07-25T21:04:56Z		https://www.inaturalist.org/observations/231278655	wolff christiane					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/231278655	231278655		wolff christiane															PRESENT								in a fallow field, damp location.															2024-07-23T14:32	14:32:00+02:00	205	205	2024	7	23	2024/07/23 14:32											EUROPE				LU	Luxembourg				Kehlen, Luxembourg								49.656997	6.018894	6.0																															518335212				wolff christiane		2024-07-23T20:43:47				166615								Phaeoceros carolinianus (Michx.) Prosk.								Plantae	Anthocerotophyta	Anthocerotopsida	Notothyladales		Notothyladaceae				Phaeoceros	Phaeoceros			carolinianus			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	LU	2024-08-29T05:40:02.601Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4277778	4277778	6	13	132	957	6751	9690017		4277778	Phaeoceros carolinianus	Phaeoceros carolinianus (Michx.) Prosk.	Phaeoceros carolinianus		DWC_ARCHIVE	2024-08-29T05:40:02.601Z	2024-08-28T11:44:48.200Z	false			false	EUROPE	EUROPE	LUX	Luxembourg	LUX.3_1	Luxembourg	LUX.3.1_1	Capellen	LUX.3.1.6_1	Kehlen	NE
4908495468				CC_BY_NC_4_0	2024-07-08T13:51:41Z		https://www.inaturalist.org/observations/227995084	GOTH					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/227995084	227995084		GOTH															PRESENT																							2024-07-07T16:28	16:28:00+03:00	189	189	2024	7	7	2024/07/07 16:28											EUROPE				BY	Minsk				Вилейский район, Минская область, Беларусь								54.674306	26.881247	1.0																															511611488				GOTH		2024-07-08T11:33:32				166615								Phaeoceros carolinianus (Michx.) Prosk.								Plantae	Anthocerotophyta	Anthocerotopsida	Notothyladales		Notothyladaceae				Phaeoceros	Phaeoceros			carolinianus			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:38:56.654Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4277778	4277778	6	13	132	957	6751	9690017		4277778	Phaeoceros carolinianus	Phaeoceros carolinianus (Michx.) Prosk.	Phaeoceros carolinianus		DWC_ARCHIVE	2024-08-29T05:38:56.654Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	BLR	Belarus	BLR.5_1	Minsk	BLR.5.22_1	Vileyka			NE
4901417734				CC_BY_NC_4_0	2024-08-20T11:02:14Z		https://www.inaturalist.org/observations/224327245	Piotr Kobierski					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/224327245	224327245		Piotr Kobierski															PRESENT																							2012-09-01T10:06	10:06:00+02:00	245	245	2012	9	1	2012/09/01 10:06											EUROPE				PL	Lubusz				Powiat żarski, Polska								51.839851	14.970119	100.0																															504253668				Piotr Kobierski		2024-06-22T04:41:00				158429								Anthoceros agrestis Paton								Plantae	Anthocerotophyta	Anthocerotopsida	Anthocerotales		Anthocerotaceae				Anthoceros	Anthoceros			agrestis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:42:26.019Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2689592	2689592	6	13	132	955	3106	8365024		2689592	Anthoceros agrestis	Anthoceros agrestis Paton	Anthoceros agrestis		DWC_ARCHIVE	2024-08-29T05:42:26.019Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	POL	Poland	POL.5_1	Lubuskie	POL.5.12_1	Żary	POL.5.12.5_1	Lubsko	NE
4855308841				CC_BY_NC_4_0	2024-05-02T05:43:12Z		https://www.inaturalist.org/observations/212695822	martina_poeltl					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/212695822	212695822		martina_poeltl															PRESENT																							2024-04-27T14:21	14:21:00+02:00	118	118	2024	4	27	2024/04/27 14:21											EUROPE				AT	Steiermark				Graz-Umgebung, Österreich								47.054225	15.534225																																480483791				martina_poeltl		2024-05-01T19:49:25				158429								Anthoceros agrestis Paton								Plantae	Anthocerotophyta	Anthocerotopsida	Anthocerotales		Anthocerotaceae				Anthoceros	Anthoceros			agrestis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:35:06.737Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2689592	2689592	6	13	132	955	3106	8365024		2689592	Anthoceros agrestis	Anthoceros agrestis Paton	Anthoceros agrestis		DWC_ARCHIVE	2024-08-29T05:35:06.737Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	AUT	Austria	AUT.6_1	Steiermark	AUT.6.3_2	Graz-Umgebung	AUT.6.3.10_2	Hart bei Graz	NE
4597401385				CC_BY_NC_4_0	2024-03-11T08:52:23Z		https://www.inaturalist.org/observations/201899234	martina_poeltl					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/201899234	201899234		martina_poeltl															PRESENT																							2024-02-23T11:57	11:57:00+01:00	54	54	2024	2	23	2024/02/23 11:57											EUROPE				HR	Primorsko-Goranska				Ćunski, Kroatien								44.559792	14.390822																																458447159				martina_poeltl		2024-03-10T10:11:36				56334								Phymatoceros bulbiculosus (Brot.) Stotler, W.T.Doyle & Crand.-Stotl.								Plantae	Anthocerotophyta	Anthocerotopsida	Phymatocerotales		Phymatocerotaceae				Phymatoceros	Phymatoceros			bulbiculosus			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T06:15:21.736Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	8357609	8357609	6	13	132	958	3108	2689595		8357609	Phymatoceros bulbiculosus	Phymatoceros bulbiculosus (Brot.) Stotler, W.T.Doyle & Crand.-Stotl.	Phymatoceros bulbiculosus		DWC_ARCHIVE	2024-08-29T06:15:21.736Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	HRV	Croatia	HRV.13_1	Primorsko-Goranska	HRV.13.23_1	Mali Lošinj			NE
4528236161				CC_BY_NC_4_0	2024-02-24T08:23:45Z		https://www.inaturalist.org/observations/200201219	Stefan Gey					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/200201219	200201219		Stefan Gey	https://orcid.org/0000-0002-3075-3738														PRESENT																							2024-02-23T12:40:49	12:40:49+01:00	54	54	2024	2	23	2024-02-23 12:40:49											EUROPE				HR	Primorsko-Goranska				Ćunski, Kroatien								44.559986	14.390417	22.0																															453900859				Stefan Gey	https://orcid.org/0000-0002-3075-3738	2024-02-23T18:15:40				56334								Phymatoceros bulbiculosus (Brot.) Stotler, W.T.Doyle & Crand.-Stotl.								Plantae	Anthocerotophyta	Anthocerotopsida	Phymatocerotales		Phymatocerotaceae				Phymatoceros	Phymatoceros			bulbiculosus			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:32:56.824Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	8357609	8357609	6	13	132	958	3108	2689595		8357609	Phymatoceros bulbiculosus	Phymatoceros bulbiculosus (Brot.) Stotler, W.T.Doyle & Crand.-Stotl.	Phymatoceros bulbiculosus		DWC_ARCHIVE	2024-08-29T05:32:56.824Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	HRV	Croatia	HRV.13_1	Primorsko-Goranska	HRV.13.23_1	Mali Lošinj			NE
4506295145				CC_BY_NC_4_0	2023-12-22T18:08:35Z		https://www.inaturalist.org/observations/194590300	stefan___					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 26100m at the request of the observer			https://www.inaturalist.org/observations/194590300	194590300		stefan___															PRESENT																							2023-08-30T18:51	18:51:00+02:00	242	242	2023	8	30	2023/08/30 18:51											EUROPE				DE	Nordrhein-Westfalen				Nordrhein-Westfalen, DE								52.014447	8.313083	26100.0																															436984844				stefan___		2023-12-22T17:54:23				158429								Anthoceros agrestis Paton								Plantae	Anthocerotophyta	Anthocerotopsida	Anthocerotales		Anthocerotaceae				Anthoceros	Anthoceros			agrestis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:29:25.481Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2689592	2689592	6	13	132	955	3106	8365024		2689592	Anthoceros agrestis	Anthoceros agrestis Paton	Anthoceros agrestis		DWC_ARCHIVE	2024-08-29T05:29:25.481Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	DEU	Germany	DEU.10_1	Nordrhein-Westfalen	DEU.10.15_1	Gütersloh	DEU.10.15.3_1	Halle (Westf.)	NE
4465442837				CC_BY_NC_4_0	2023-12-07T12:28:26Z		https://www.inaturalist.org/observations/193283126	Marija Bučar					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/193283126	193283126		Marija Bučar															PRESENT																							2022-08-02T14:00	14:00:00+03:00	214	214	2022	8	2	2022/08/02 2:00 PM											EUROPE				LV	Latgale				Skrudaliena Parish, Augšdaugavas novads, LV-5470, Latvija								55.728132	26.821952																																433036860				michael-lueth		2023-12-07T08:48:02				158429								Anthoceros agrestis Paton								Plantae	Anthocerotophyta	Anthocerotopsida	Anthocerotales		Anthocerotaceae				Anthoceros	Anthoceros			agrestis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2024-08-29T05:32:31.707Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2689592	2689592	6	13	132	955	3106	8365024		2689592	Anthoceros agrestis	Anthoceros agrestis Paton	Anthoceros agrestis		DWC_ARCHIVE	2024-08-29T05:32:31.707Z	2024-08-28T11:44:48.200Z	true			false	EUROPE	NORTH_AMERICA	LVA	Latvia	LVA.2_1	Latgale	LVA.2.2_1	Daugavpils			NE
