gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4923695517	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/416569208/original.jpg	https://www.inaturalist.org/photos/416569208					2016-01-08T00:07:59Z	Valter Medeiros		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Valter Medeiros
4867608735	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/379639476/original.jpeg	https://www.inaturalist.org/photos/379639476					2024-05-09T03:07:58Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
4863853110	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/379462644/original.jpg	https://www.inaturalist.org/photos/379462644					2024-05-09T22:36:58Z	jackheijnemans		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jackheijnemans
4863853110	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/379462651/original.jpg	https://www.inaturalist.org/photos/379462651					2024-05-09T22:37:42Z	jackheijnemans		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jackheijnemans
4863853110	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/379462654/original.jpg	https://www.inaturalist.org/photos/379462654					2024-05-09T22:36:38Z	jackheijnemans		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jackheijnemans
4852853327	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/368429132/original.jpeg	https://www.inaturalist.org/photos/368429132					2024-04-20T10:36:41Z	Kate Bauer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kate Bauer
4852853327	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/368429082/original.jpeg	https://www.inaturalist.org/photos/368429082					2024-04-20T10:36:41Z	Kate Bauer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kate Bauer
4852597901	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/375115496/original.jpg	https://www.inaturalist.org/photos/375115496					2024-04-27T13:21:55Z	will_sheppard		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	will_sheppard
4599958575	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/360268806/original.jpg	https://www.inaturalist.org/photos/360268806					2024-03-25T09:17:49Z	Jean-Paul Boerekamps		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Jean-Paul Boerekamps
4599958575	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/360268820/original.jpg	https://www.inaturalist.org/photos/360268820					2024-03-25T09:17:49Z	Jean-Paul Boerekamps		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Jean-Paul Boerekamps
4597085532	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/358002968/original.jpg	https://www.inaturalist.org/photos/358002968					2024-03-16T15:31:00Z	fabian_karner		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	fabian_karner
4516857436	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/348283255/original.jpeg	https://www.inaturalist.org/photos/348283255					2024-01-27T15:46:55Z	Berend Bouman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Berend Bouman
4510088098	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/344480846/original.jpeg	https://www.inaturalist.org/photos/344480846					2023-12-26T03:11:38Z	eduardosfga		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eduardosfga
4510088098	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/344480847/original.jpeg	https://www.inaturalist.org/photos/344480847					2023-12-26T03:11:40Z	eduardosfga		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eduardosfga
4510088098	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/344480823/original.jpeg	https://www.inaturalist.org/photos/344480823					2023-12-26T03:10:48Z	eduardosfga		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eduardosfga
4465677294	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/339734902/original.jpeg	https://www.inaturalist.org/photos/339734902					2022-08-01T23:29:55Z	Laura Rodríguez		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Laura Rodríguez
4407180890	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/314728936/original.jpeg	https://www.inaturalist.org/photos/314728936					2023-08-28T18:38:19Z	mothdragon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mothdragon
4130171946	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/286434731/original.jpeg	https://www.inaturalist.org/photos/286434731					2023-06-04T16:48:52Z	Alexis Williams		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alexis Williams
4130171946	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/286434741/original.jpeg	https://www.inaturalist.org/photos/286434741					2023-06-04T16:48:44Z	Alexis Williams		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alexis Williams
4126699097	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/283416579/original.jpeg	https://www.inaturalist.org/photos/283416579					2004-05-18T00:53:05Z	Rauno Yrjölä		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rauno Yrjölä
4062905997	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/260143543/original.jpeg	https://www.inaturalist.org/photos/260143543					2023-03-11T22:38:02Z	Stefan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Stefan
4062905997	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/260143536/original.jpeg	https://www.inaturalist.org/photos/260143536					2023-03-11T22:37:53Z	Stefan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Stefan
4062720249	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/260544980/original.jpeg	https://www.inaturalist.org/photos/260544980					2007-07-09T19:14:45Z	Canoe180		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Canoe180
4039210913	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/256545081/original.jpg	https://www.inaturalist.org/photos/256545081					2019-02-16T21:04:55Z	Jamie O'Neill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jamie O'Neill
4039210913	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/256545091/original.jpg	https://www.inaturalist.org/photos/256545091					2019-02-16T21:05:05Z	Jamie O'Neill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jamie O'Neill
4011850614	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/240501497/original.jpg	https://www.inaturalist.org/photos/240501497					2022-10-30T10:13:03Z	suulut		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	suulut
4011660878	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/249833072/original.jpeg	https://www.inaturalist.org/photos/249833072					2022-12-29T21:30:06Z	Andy Ormsby		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy Ormsby
4011660878	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/249649683/original.jpeg	https://www.inaturalist.org/photos/249649683					2022-12-29T21:28:36Z	Andy Ormsby		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy Ormsby
4011567704	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/249542155/original.jpeg	https://www.inaturalist.org/photos/249542155					2023-01-26T01:15:11Z	quelicerado_v		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quelicerado_v
4011567704	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/249541136/original.jpeg	https://www.inaturalist.org/photos/249541136					2023-01-26T01:18:05Z	quelicerado_v		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quelicerado_v
4011567704	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/249540477/original.jpeg	https://www.inaturalist.org/photos/249540477					2023-01-26T01:27:30Z	quelicerado_v		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	quelicerado_v
3988529065	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/246283684/original.jpeg	https://www.inaturalist.org/photos/246283684					2022-12-03T18:15:45Z	Rye		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rye
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129944/original.jpeg	https://www.inaturalist.org/photos/245129944					2022-11-20T00:13:05Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129936/original.jpeg	https://www.inaturalist.org/photos/245129936					2022-11-20T00:11:57Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129856/original.jpeg	https://www.inaturalist.org/photos/245129856					2022-11-19T23:54:24Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129918/original.jpeg	https://www.inaturalist.org/photos/245129918					2022-11-20T00:08:08Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129879/original.jpeg	https://www.inaturalist.org/photos/245129879					2022-11-20T00:07:26Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129928/original.jpeg	https://www.inaturalist.org/photos/245129928					2022-11-20T00:11:19Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129891/original.jpeg	https://www.inaturalist.org/photos/245129891					2022-11-20T00:07:53Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129840/original.jpeg	https://www.inaturalist.org/photos/245129840					2022-11-19T23:54:20Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129906/original.jpeg	https://www.inaturalist.org/photos/245129906					2022-11-20T00:08:05Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985925100	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245129870/original.jpeg	https://www.inaturalist.org/photos/245129870					2022-11-19T23:54:31Z	Joren van Schie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joren van Schie
3985842234	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245316050/original.jpg	https://www.inaturalist.org/photos/245316050					2022-11-27T12:59:50Z	Martin Høj Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Martin Høj Hansen
3985842234	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245316032/original.jpg	https://www.inaturalist.org/photos/245316032					2022-11-27T12:59:50Z	Martin Høj Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Martin Høj Hansen
3985842234	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/245316067/original.jpg	https://www.inaturalist.org/photos/245316067					2022-11-27T12:59:50Z	Martin Høj Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Martin Høj Hansen
3961425547	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/240997114/original.jpeg	https://www.inaturalist.org/photos/240997114					2021-05-28T17:22:30Z	Mark Schellekens		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mark Schellekens
3912384641	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231497078/original.jpeg	https://www.inaturalist.org/photos/231497078					2022-09-18T23:27:12Z	Mette Hesselholt Henne Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mette Hesselholt Henne Hansen
3912384641	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231497030/original.jpeg	https://www.inaturalist.org/photos/231497030					2022-09-18T23:27:37Z	Mette Hesselholt Henne Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mette Hesselholt Henne Hansen
3912384641	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231497619/original.jpg	https://www.inaturalist.org/photos/231497619					2022-09-18T22:22:27Z	Mette Hesselholt Henne Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mette Hesselholt Henne Hansen
3903387370	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/227657759/original.jpg	https://www.inaturalist.org/photos/227657759					2022-09-04T13:47:40Z	Martin Høj Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Martin Høj Hansen
3903387370	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/227657828/original.jpg	https://www.inaturalist.org/photos/227657828					2022-09-04T13:47:40Z	Martin Høj Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Martin Høj Hansen
3903387370	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/227657795/original.jpg	https://www.inaturalist.org/photos/227657795					2022-09-04T13:47:40Z	Martin Høj Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Martin Høj Hansen
3903387370	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/227657864/original.jpg	https://www.inaturalist.org/photos/227657864					2022-09-04T13:47:40Z	Martin Høj Hansen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Martin Høj Hansen
